Date,Route ID
"Feb 6, 2022, 12:32:20 PM",2925384182565888214
"Feb 27, 2022, 12:24:08 PM",2932992265407171164
"Aug 30, 2022, 8:54:38 AM",2999618911302481772
"Nov 27, 2022, 10:09:09 AM",3031890181981789470
"Feb 20, 2022, 10:21:18 AM",2930424640155067042
"Jul 22, 2022, 12:57:47 PM",2985546975054423346
"Feb 6, 2022, 12:23:21 PM",2925381923471345878
"Dec 6, 2022, 10:49:03 PM",3035342905114456962
"Feb 15, 2022, 6:07:46 PM",2928730088272164120
"Feb 27, 2022, 9:58:52 PM",2933136903111146432
"Jul 28, 2023, 12:34:06 PM",3119986911190691260
"Feb 15, 2022, 6:15:40 PM",2928732077151788012
"Dec 6, 2022, 10:57:28 PM",3035345023402570626
"Jan 23, 2022, 12:08:43 PM",2920304808477563508
"Feb 27, 2022, 12:13:29 PM",2932989583328638030
"Jan 29, 2022, 11:32:52 AM",2922470117698611788
"Nov 13, 2022, 9:52:44 AM",3026812620506484386
"Feb 6, 2022, 12:42:34 PM",2925386761173431358
"Nov 27, 2022, 9:59:33 AM",3031887764943481118
